trip_id,cycle_id,direction,start_time,end_time,distance_km,num_stops,is_peak,energy_kwh
1,0,0,1900-01-01 06:00:00.000000,1900-01-01 06:28:58.999725,12,24,False,17.41478863864502
2,0,1,1900-01-01 06:34:58.999725,1900-01-01 07:03:57.999450,12,24,False,18.106499231298194
3,1,0,1900-01-01 06:18:00.000000,1900-01-01 06:46:01.610790,12,24,False,18.22017691837165
4,1,1,1900-01-01 06:52:01.610790,1900-01-01 07:20:03.221580,12,24,False,17.567103182861402
5,2,0,1900-01-01 06:40:00.000000,1900-01-01 07:07:53.942518,12,24,False,18.54903230570841
6,2,1,1900-01-01 07:13:53.942518,1900-01-01 07:41:47.885036,12,24,False,18.543310445891596
7,3,0,1900-01-01 06:58:00.000000,1900-01-01 07:26:21.747563,12,24,False,18.528236318698262
8,3,1,1900-01-01 07:32:21.747563,1900-01-01 08:00:43.495126,12,24,False,17.821865766065407
9,4,0,1900-01-01 07:19:00.000000,1900-01-01 08:00:25.395857,12,24,True,17.465485219852294
10,4,1,1900-01-01 08:06:25.395857,1900-01-01 08:47:50.791714,12,24,True,18.15741575791638
11,5,0,1900-01-01 07:30:00.000000,1900-01-01 08:12:22.276553,12,24,True,17.765237607015763
12,5,1,1900-01-01 08:18:22.276553,1900-01-01 09:00:44.553106,12,24,True,17.446664189743878
13,6,0,1900-01-01 07:41:00.000000,1900-01-01 08:20:39.349459,12,24,True,18.20508252635249
14,6,1,1900-01-01 08:26:39.349459,1900-01-01 09:06:18.698918,12,24,True,17.39153118070842
15,7,0,1900-01-01 07:52:00.000000,1900-01-01 08:32:35.041402,12,24,True,17.494451623233722
16,7,1,1900-01-01 08:38:35.041402,1900-01-01 09:19:10.082804,12,24,True,17.67174382695928
17,8,0,1900-01-01 08:02:00.000000,1900-01-01 08:46:10.048174,12,24,True,17.69038280228178
18,8,1,1900-01-01 08:52:10.048174,1900-01-01 09:36:20.096348,12,24,True,17.381149265545236
19,9,0,1900-01-01 08:12:00.000000,1900-01-01 08:53:47.427575,12,24,True,18.0825418255393
20,9,1,1900-01-01 08:59:47.427575,1900-01-01 09:41:34.855150,12,24,True,17.838093270386718
21,10,0,1900-01-01 08:22:00.000000,1900-01-01 09:03:06.461992,12,24,True,17.62318326549414
22,10,1,1900-01-01 09:09:06.461992,1900-01-01 09:50:12.923984,12,24,True,18.02234096668263
23,11,0,1900-01-01 08:31:00.000000,1900-01-01 09:11:15.423145,12,24,True,17.77367052588848
24,11,1,1900-01-01 09:17:15.423145,1900-01-01 09:57:30.846290,12,24,True,17.89679655618608
25,12,0,1900-01-01 08:41:00.000000,1900-01-01 09:21:50.801781,12,24,True,17.727579466044922
26,12,1,1900-01-01 09:27:50.801781,1900-01-01 10:08:41.603562,12,24,True,17.796468383251604
27,13,0,1900-01-01 08:52:00.000000,1900-01-01 09:32:02.295060,12,24,True,17.52624984898173
28,13,1,1900-01-01 09:38:02.295060,1900-01-01 10:18:04.590120,12,24,True,17.45036692531473
29,14,0,1900-01-01 09:01:00.000000,1900-01-01 09:42:09.633038,12,24,True,17.734491852965395
30,14,1,1900-01-01 09:48:09.633038,1900-01-01 10:29:19.266076,12,24,True,18.113654007020262
31,15,0,1900-01-01 09:10:00.000000,1900-01-01 09:49:11.567250,12,24,True,17.403679082403052
32,15,1,1900-01-01 09:55:11.567250,1900-01-01 10:34:23.134500,12,24,True,18.06581417570789
33,16,0,1900-01-01 09:20:00.000000,1900-01-01 10:00:30.925646,12,24,True,17.88827976898997
34,16,1,1900-01-01 10:06:30.925646,1900-01-01 10:47:01.851292,12,24,True,17.48767966794032
35,17,0,1900-01-01 09:29:00.000000,1900-01-01 10:06:21.326386,12,24,True,18.23037959855406
36,17,1,1900-01-01 10:12:21.326386,1900-01-01 10:49:42.652772,12,24,True,17.980916105989408
37,18,0,1900-01-01 09:38:00.000000,1900-01-01 10:18:52.391052,12,24,True,17.809033968563448
38,18,1,1900-01-01 10:24:52.391052,1900-01-01 11:05:44.782104,12,24,True,18.390607334651335
39,19,0,1900-01-01 09:47:00.000000,1900-01-01 10:28:19.897361,12,24,True,17.435676682673908
40,19,1,1900-01-01 10:34:19.897361,1900-01-01 11:15:39.794722,12,24,True,17.96458095219358
41,20,0,1900-01-01 09:58:00.000000,1900-01-01 10:36:44.470423,12,24,True,17.455742104891872
42,20,1,1900-01-01 10:42:44.470423,1900-01-01 11:21:28.940846,12,24,True,17.725127934879353
43,21,0,1900-01-01 10:09:00.000000,1900-01-01 10:37:20.170886,12,24,False,17.872258201655193
44,21,1,1900-01-01 10:43:20.170886,1900-01-01 11:11:40.341772,12,24,False,17.853981221265137
45,22,0,1900-01-01 10:27:00.000000,1900-01-01 10:55:04.874319,12,24,False,17.647313962452504
46,22,1,1900-01-01 11:01:04.874319,1900-01-01 11:29:09.748638,12,24,False,17.535583168128113
47,23,0,1900-01-01 10:48:00.000000,1900-01-01 11:16:31.290692,12,24,False,18.003465068843887
48,23,1,1900-01-01 11:22:31.290692,1900-01-01 11:51:02.581384,12,24,False,17.876688259433255
49,24,0,1900-01-01 11:10:00.000000,1900-01-01 11:36:26.326024,12,24,False,18.437445901931593
50,24,1,1900-01-01 11:42:26.326024,1900-01-01 12:08:52.652048,12,24,False,17.70442603000857
51,25,0,1900-01-01 11:30:00.000000,1900-01-01 11:59:45.415765,12,24,False,17.46298984803346
