battery_kwh,usable_energy_kwh,avg_cycle_energy_kwh,cycles_per_charge,total_cycles,N_range,N_BEB,replacement_ratio,energy_mult,usable_soc
250,187.5,28.56274563516711,6.564494968198914,57,9,11,1.0,0.8,0.75
300,225.0,28.56274563516711,7.877393961838697,57,8,11,1.0,0.8,0.75
350,262.5,28.56274563516711,9.19029295547848,57,7,11,1.0,0.8,0.75
400,300.0,28.56274563516711,10.503191949118262,57,6,11,1.0,0.8,0.75
450,337.5,28.56274563516711,11.816090942758045,57,5,11,1.0,0.8,0.75
250,212.5,28.56274563516711,7.439760963958769,57,8,11,1.0,0.8,0.85
300,255.0,28.56274563516711,8.927713156750523,57,7,11,1.0,0.8,0.85
350,297.5,28.56274563516711,10.415665349542277,57,6,11,1.0,0.8,0.85
400,340.0,28.56274563516711,11.90361754233403,57,5,11,1.0,0.8,0.85
450,382.5,28.56274563516711,13.391569735125785,57,5,11,1.0,0.8,0.85
250,237.5,28.56274563516711,8.315026959718624,57,7,11,1.0,0.8,0.95
300,285.0,28.56274563516711,9.97803235166235,57,6,11,1.0,0.8,0.95
350,332.5,28.56274563516711,11.641037743606075,57,5,11,1.0,0.8,0.95
400,380.0,28.56274563516711,13.304043135549799,57,5,11,1.0,0.8,0.95
450,427.5,28.56274563516711,14.967048527493525,57,4,11,1.0,0.8,0.95
250,187.5,35.703432043958884,5.251595974559132,57,11,11,1.0,1.0,0.75
300,225.0,35.703432043958884,6.301915169470958,57,10,11,1.0,1.0,0.75
350,262.5,35.703432043958884,7.3522343643827845,57,8,11,1.0,1.0,0.75
400,300.0,35.703432043958884,8.402553559294612,57,7,11,1.0,1.0,0.75
450,337.5,35.703432043958884,9.452872754206437,57,7,11,1.0,1.0,0.75
250,212.5,35.703432043958884,5.951808771167016,57,10,11,1.0,1.0,0.85
300,255.0,35.703432043958884,7.142170525400419,57,8,11,1.0,1.0,0.85
350,297.5,35.703432043958884,8.332532279633822,57,7,11,1.0,1.0,0.85
400,340.0,35.703432043958884,9.522894033867226,57,6,11,1.0,1.0,0.85
450,382.5,35.703432043958884,10.71325578810063,57,6,11,1.0,1.0,0.85
250,237.5,35.703432043958884,6.6520215677749,57,9,11,1.0,1.0,0.95
300,285.0,35.703432043958884,7.982425881329881,57,8,11,1.0,1.0,0.95
350,332.5,35.703432043958884,9.31283019488486,57,7,11,1.0,1.0,0.95
400,380.0,35.703432043958884,10.643234508439841,57,6,11,1.0,1.0,0.95
450,427.5,35.703432043958884,11.973638821994822,57,5,11,1.0,1.0,0.95
250,187.5,42.844118452750656,4.376329978799277,57,14,14,1.2727272727272727,1.2,0.75
300,225.0,42.844118452750656,5.251595974559133,57,11,11,1.0,1.2,0.75
350,262.5,42.844118452750656,6.126861970318988,57,10,11,1.0,1.2,0.75
400,300.0,42.844118452750656,7.002127966078843,57,9,11,1.0,1.2,0.75
450,337.5,42.844118452750656,7.877393961838699,57,8,11,1.0,1.2,0.75
250,212.5,42.844118452750656,4.959840642639181,57,12,12,1.0909090909090908,1.2,0.85
300,255.0,42.844118452750656,5.951808771167017,57,10,11,1.0,1.2,0.85
350,297.5,42.844118452750656,6.9437768996948535,57,9,11,1.0,1.2,0.85
400,340.0,42.844118452750656,7.935745028222689,57,8,11,1.0,1.2,0.85
450,382.5,42.844118452750656,8.927713156750526,57,7,11,1.0,1.2,0.85
250,237.5,42.844118452750656,5.543351306479084,57,11,11,1.0,1.2,0.95
300,285.0,42.844118452750656,6.652021567774901,57,9,11,1.0,1.2,0.95
350,332.5,42.844118452750656,7.760691829070718,57,8,11,1.0,1.2,0.95
400,380.0,42.844118452750656,8.869362090366534,57,7,11,1.0,1.2,0.95
450,427.5,42.844118452750656,9.978032351662351,57,6,11,1.0,1.2,0.95
