trip_id,bus_id
1,0
3,1
2,0
5,2
4,1
7,3
6,2
9,0
11,1
8,3
13,4
15,2
17,5
10,3
19,0
12,1
21,6
14,4
23,7
16,2
25,8
27,5
18,9
20,3
29,0
22,6
31,1
24,7
33,4
26,8
35,2
37,5
28,10
39,9
30,3
32,0
41,6
34,7
43,4
36,1
38,10
45,8
40,9
42,5
44,6
47,4
46,7
49,8
48,10
51,9
50,5
53,6
52,10
55,7
54,8
57,9
56,10
59,2
58,3
61,4
60,5
63,6
62,7
65,8
64,9
67,10
66,0
69,1
68,2
71,3
70,4
73,5
72,6
75,7
74,8
77,9
76,10
79,0
78,1
81,2
80,3
83,4
82,5
85,6
84,7
87,8
86,9
89,10
88,0
91,1
90,2
93,3
92,4
95,5
94,6
97,7
96,8
99,9
98,10
101,0
100,1
103,2
102,3
105,4
104,5
107,6
106,7
109,8
108,9
111,10
110,0
113,1
112,2
114,3
